lon,lat,bounds,time,lwe_thickness,land_mask
116.25,39.75,0,2008-09-16 00:00:00,-3.973991049866931,1.0
116.25,39.75,0,2008-10-16 12:00:00,-3.6065223873069447,1.0
116.25,39.75,0,2008-11-16 00:00:00,-6.450500531535403,1.0
116.25,39.75,0,2008-12-16 12:00:00,-7.867097540240542,1.0
116.25,39.75,0,2009-01-16 12:00:00,-8.104620216827648,1.0
116.25,39.75,0,2009-02-15 00:00:00,-8.306363819580334,1.0
116.25,39.75,0,2009-03-16 12:00:00,-7.353169737797038,1.0
116.25,39.75,0,2009-04-16 00:00:00,-6.692973761301295,1.0
116.25,39.75,0,2009-05-16 12:00:00,-7.445484189729945,1.0
116.25,39.75,0,2009-06-16 00:00:00,-9.679353027086513,1.0
116.25,39.75,0,2009-07-16 12:00:00,-9.931111125688808,1.0
116.25,39.75,0,2009-08-16 12:00:00,-6.958708314638392,1.0
116.25,39.75,0,2009-09-16 00:00:00,-5.503479419689433,1.0
116.25,39.75,0,2009-10-16 12:00:00,-8.499588786106365,1.0
116.25,39.75,0,2009-11-16 00:00:00,-11.169500200491207,1.0
116.25,39.75,0,2009-12-16 12:00:00,-9.737004278641002,1.0
116.25,39.75,0,2010-01-16 12:00:00,-9.428561805229442,1.0
116.25,39.75,0,2010-02-15 00:00:00,-11.530857710581081,1.0
116.25,39.75,0,2010-03-16 12:00:00,-10.021948961954372,1.0
116.25,39.75,0,2010-04-16 00:00:00,-8.963115750293987,1.0
116.25,39.75,0,2010-05-16 12:00:00,-7.317101894359843,1.0
116.25,39.75,0,2010-06-16 00:00:00,-8.697634546499508,1.0
116.25,39.75,0,2010-07-16 12:00:00,-10.7641675159743,1.0
116.25,39.75,0,2010-08-16 12:00:00,-7.075826434831874,1.0
116.25,39.75,0,2010-09-16 00:00:00,-2.753286779340164,1.0
116.25,39.75,0,2010-10-16 12:00:00,-4.8136716731300515,1.0
116.25,39.75,0,2010-11-16 00:00:00,-4.172943447198526,1.0
116.25,39.75,0,2010-12-14 12:00:00,-3.8845692523231667,1.0
116.25,39.75,0,2011-01-18 12:00:00,-4.12334,1.0
116.25,39.75,0,2011-02-18 12:00:00,-4.5753132611920995,1.0
116.25,39.75,0,2011-03-16 12:00:00,-3.8291060714458984,1.0
116.25,39.75,0,2011-04-16 00:00:00,-5.367674423795001,1.0
116.25,39.75,0,2011-05-16 12:00:00,-6.378179489116923,1.0
116.25,39.75,0,2011-06-16 12:00:00,-7.378179489116923,1.0
116.25,39.75,0,2011-07-18 12:00:00,-8.885346500616329,1.0
116.25,39.75,0,2011-08-16 12:00:00,-8.233176408748882,1.0
116.25,39.75,0,2011-09-16 00:00:00,-6.5534423426201505,1.0
116.25,39.75,0,2011-10-16 12:00:00,-10.187875627022045,1.0
116.25,39.75,0,2011-11-01 12:00:00,-10.899931578378933,1.0
116.25,39.75,0,2011-12-01 12:00:00,-9.899931578378933,1.0
116.25,39.75,0,2012-01-01 00:00:00,-8.332125751714962,1.0
116.25,39.75,0,2012-01-16 12:00:00,-9.481824217777508,1.0
116.25,39.75,0,2012-02-15 12:00:00,-12.266281931143062,1.0
116.25,39.75,0,2012-03-16 12:00:00,-10.214192031364696,1.0
116.25,39.75,0,2012-04-04 12:00:00,-11.768397299986141,1.0
116.25,39.75,0,2012-05-04 12:00:00,-10,1.0
116.25,39.75,0,2012-06-16 00:00:00,-9.817192165594356,1.0
116.25,39.75,0,2012-07-16 12:00:00,-9.30734133575465,1.0
116.25,39.75,0,2012-08-16 12:00:00,0.6926687672326404,1.0
116.25,39.75,0,2012-09-13 00:00:00,-4.585793881159083,1.0
116.25,39.75,0,2012-10-13 00:00:00,-5.0123424,1.0
116.25,39.75,0,2012-11-18 12:00:00,-5.474539826106088,1.0
116.25,39.75,0,2012-12-16 12:00:00,-4.996164186339633,1.0
116.25,39.75,0,2013-01-16 12:00:00,-5.826084984879748,1.0
116.25,39.75,0,2013-02-14 00:00:00,-3.845344370644347,1.0
116.25,39.75,0,2013-03-14 00:00:00,-5.02124,1.0
116.25,39.75,0,2013-04-21 00:00:00,-7.232194735150592,1.0
116.25,39.75,0,2013-05-16 12:00:00,-7.138008667569415,1.0
116.25,39.75,0,2013-06-16 00:00:00,-8.917448072176235,1.0
116.25,39.75,0,2013-07-16 12:00:00,-2.2998577993771,1.0
116.25,39.75,0,2013-08-16 12:00:00,-3.315312,1.0
116.25,39.75,0,2013-09-16 12:00:00,-4.1241424,1.0
116.25,39.75,0,2013-10-16 12:00:00,-5.0205622300913495,1.0
116.25,39.75,0,2013-11-16 00:00:00,-8.913405655365246,1.0
